Row No.,DBMS,In-memory,"column-
orientedness", Multi-GPU,RAM size (GB),Evolution,Interconnect,"Database 
Size (GB)",Query Name,aggregation,subquery,# of joins,"# of attributes 
to be referenced 
(on the fact table)",# of (projection+selection) attributes to be referenced by query,"# of all tables 
to be referenced","# of distinct tables
 to be referenced",case-when,order by,HtoD time (㎲),DtoH time (㎲),GPU Page Fault,"# of kernels 
invoked","GPU utilization
(Kernel Time, ㎲)","GPU Utilization 
(Kernel Time, %)",Elapsed Time (㎲),"Elapsed Time 
on NVProf (ms)","Profiling 
Overhead (ms)","cudaLaunchKernel 
start time (ms)",,
86,BlazingSQL,T,T,F,48,2080ti,-,8,Q20,T,T,2,3,17,5,5,F,T,439.519,159.583,264,258,94874.96,86.0159,97414,597.18982,486.81769,0.072813,,
87,BlazingSQL,T,T,F,48,2080ti,-,8,Q21,T,T,3,4,16,6,4,F,T,,,,,,,,,,,,
88,BlazingSQL,T,T,F,48,2080ti,-,8,Q22,T,T,0,0,4,3,2,F,T,,,,,,,,,,,,
89,BlazingSQL,T,T,F,64,1080ti,-,1,Q1,T,F,0,7,7,1,1,F,T,337.447,73.027,0,140,29366.89,67.74,41290,351.57608,308.141985,0.081753,,
90,BlazingSQL,T,T,F,64,1080ti,-,1,Q2,T,T,8,0,16,10,5,F,T,397.705,172.678,0,290,10989.44,41.6508,28360,338.00095,311.5089,0.107377,,
91,BlazingSQL,T,T,F,64,1080ti,-,1,Q3,T,F,2,4,10,3,3,F,T,308.714,91.366,0,161,12735.95,50.6723,24380,331.99139,306.77256,0.08486,,
92,BlazingSQL,T,T,F,64,1080ti,-,1,Q4,T,T,0,3,7,2,2,F,T,220.996,92.835,0,165,22442.05,66.227,32460,346.93485,312.96173,0.086538,,
93,BlazingSQL,T,T,F,64,1080ti,-,1,Q5,T,F,5,4,16,6,6,F,T,316.9,86.724,0,161,11689.69,48.6336,22590,335.11459,310.99584,0.082523,,
94,BlazingSQL,T,T,F,64,1080ti,-,1,Q6,T,F,0,4,4,1,1,F,F,178.756,40.128,0,44,10078.63,52.7549,15590,328.98287,309.79884,0.079407,,
95,BlazingSQL,T,T,F,64,1080ti,-,1,Q7,T,T,5,5,15,6,5,F,T,447.86,157.185,0,266,31901.41,66.9646,44480,358.35712,310.63441,0.083518,,
96,BlazingSQL,T,T,F,64,1080ti,-,1,Q8,T,T,7,5,19,8,8,T,T,538.917,134.528,0,240,10640.97,39.5619,25320,328.07939,301.10802,0.074361,,
97,BlazingSQL,T,T,F,64,1080ti,-,1,Q9,T,T,5,6,16,6,6,F,T,278.404,75.008,0,157,67100.8,84.4573,78210,391.32233,311.80217,0.070735,,
98,BlazingSQL,T,T,F,64,1080ti,-,1,Q10,T,F,3,4,16,4,4,F,T,372.485,124.29,0,282,21390.63,59.2742,31410,341.75798,305.58714,0.083261,,
99,BlazingSQL,T,T,F,64,1080ti,-,1,Q11,T,T,4,0,8,6,3,F,T,,,,,,,,,,,,
100,BlazingSQL,T,T,F,64,1080ti,-,1,Q12,T,F,1,5,7,2,2,T,T,245.731,66.977,0,114,32125.79,74.2293,39780,356.74194,313.39333,0.069502,,
101,BlazingSQL,T,T,F,64,1080ti,-,1,Q13,T,T,1,0,6,2,2,F,T,120.098,36.738,0,71,236404.58,96.4546,242960,548.02553,302.82683,0.104426,,
102,BlazingSQL,T,T,F,64,1080ti,-,1,Q14,T,F,1,4,6,2,2,T,F,282.467,68.61,0,72,7515.39,40.8325,14770,326.4447,307.96195,0.077335,,
103,BlazingSQL,T,T,F,64,1080ti,-,1,Q15,T,T,1,4,8,2,2,F,T,202.626,63.744,0,102,7512.99,42.0255,14180,333.22105,315.26387,0.079972,,
104,BlazingSQL,T,T,F,64,1080ti,-,1,Q16,T,T,1,0,8,3,3,F,T,390.5,148.707,0,327,49171.82,76.4266,59410,372.60158,308.15468,0.108242,,
105,BlazingSQL,T,T,F,64,1080ti,-,1,Q17,T,T,2,3,6,3,2,F,F,251.555,36.992,0,41,22546.1,69.1005,28860,339.62138,306.91975,0.073661,,
106,BlazingSQL,T,T,F,64,1080ti,-,1,Q18,T,T,2,2,8,4,3,F,T,293.475,106.402,0,193,32856.84,72.123,40860,360.58194,314.91711,0.108184,,
107,BlazingSQL,T,T,F,64,1080ti,-,1,Q19,T,F,1,6,10,2,2,F,F,569.417,172.896,0,169,63277.03,80.8899,73880,385.94482,307.63595,0.082738,,
108,BlazingSQL,T,T,F,64,1080ti,-,1,Q20,T,T,2,3,17,5,5,F,T,433.544,143.394,0,251,19102.45,56.5394,28740,345.07202,311.21525,0.07067,,
109,BlazingSQL,T,T,F,64,1080ti,-,1,Q21,T,T,3,4,16,6,4,F,T,1379.702,780.462,860,1561,3981034.57,98.9021,3924470,4368.926283,343.56085,0.137084,,
110,BlazingSQL,T,T,F,64,1080ti,-,1,Q22,T,T,0,0,4,3,2,F,T,,,,,,,,,,,,
111,BlazingSQL,T,T,F,64,1080ti,-,2,Q1,T,F,0,7,7,1,1,F,T,478.475,95.618,0,140,60201.69,78.762,77612,478.06409,401.54057,0.088537,,
112,BlazingSQL,T,T,F,64,1080ti,-,2,Q2,T,T,8,0,16,10,5,F,T,569.551,238.12,0,282,20861.69,54.7931,41708,444.00808,405.81334,0.121149,,
113,BlazingSQL,T,T,F,64,1080ti,-,2,Q3,T,F,2,4,10,3,3,F,T,449.394,152.324,0,163,23252.44,63.0138,35895,443.79764,406.8103,0.086773,,
114,BlazingSQL,T,T,F,64,1080ti,-,2,Q4,T,T,0,3,7,2,2,F,T,332.586,136.996,0,165,44664.56,78.0299,57055,465.27218,407.94421,0.087664,,
115,BlazingSQL,T,T,F,64,1080ti,-,2,Q5,T,F,5,4,16,6,6,F,T,460.456,177.474,0,166,23721.98,62.9726,34880,470.18386,432.41025,0.103282,,
116,BlazingSQL,T,T,F,64,1080ti,-,2,Q6,T,F,0,4,4,1,1,F,F,258.858,52.321,0,44,20136.62,67.6505,26873,436.34434,406.49831,0.080378,,
117,BlazingSQL,T,T,F,64,1080ti,-,2,Q7,T,T,5,5,15,6,5,F,T,700.561,241.963,0,266,60617.28,76.7223,77495,487.77858,408.68103,0.088841,,
118,BlazingSQL,T,T,F,64,1080ti,-,2,Q8,T,T,7,5,19,8,8,T,T,446.71586,212.584,0,238,23492.32,56.0269,39357,446.71586,404.71087,0.074587,,
119,BlazingSQL,T,T,F,64,1080ti,-,2,Q9,T,T,5,6,16,6,6,F,T,410.093,153.668,0,162,144703.81,90.9427,151911,568.55307,409.36165,0.075994,,
120,BlazingSQL,T,T,F,64,1080ti,-,2,Q10,T,F,3,4,16,4,4,F,T,536.176,214.66,0,279,50192.28,74.9742,60746,474.87109,407.83907,0.085929,,
121,BlazingSQL,T,T,F,64,1080ti,-,2,Q11,T,T,4,0,8,6,3,F,T,,,,,,,,,,,,
122,BlazingSQL,T,T,F,64,1080ti,-,2,Q12,T,F,1,5,7,2,2,T,T,356.938,89.6,0,114,62285.65,83.7283,69699,478.55144,404.07934,0.081924,,
123,BlazingSQL,T,T,F,64,1080ti,-,2,Q13,T,T,1,0,6,2,2,F,T,149.667,59.971,0,71,475069.48,98.0413,467763,896.72506,412.04531,0.118966,,
124,BlazingSQL,T,T,F,64,1080ti,-,2,Q14,T,F,1,4,6,2,2,T,F,408.746,102.24,0,72,14466.13,54.6388,21802,439.51479,412.95231,0.086564,,
125,BlazingSQL,T,T,F,64,1080ti,-,2,Q15,T,T,1,4,8,2,2,F,T,292.353,79.297,0,104,13867.46,55.7072,20228,432.93664,407.95636,0.08681,,
126,BlazingSQL,T,T,F,64,1080ti,-,2,Q16,T,T,1,0,8,3,3,F,T,575.054,229.763,0,329,93674.63,83.8082,108330,523.95039,412.05778,0.120008,,
127,BlazingSQL,T,T,F,64,1080ti,-,2,Q17,T,T,2,3,6,3,2,F,F,357.703,48.864,0,41,48980.04,81.9175,56097,463.94231,404.07546,0.074954,,
128,BlazingSQL,T,T,F,64,1080ti,-,2,Q18,T,T,2,2,8,4,3,F,T,418.603,177.828,0,192,76291.09,84.0753,85513,492.49399,401.63044,0.122139,,
129,BlazingSQL,T,T,F,64,1080ti,-,2,Q19,T,F,1,6,10,2,2,F,F,810.639,241.254,0,169,127731.17,88.2468,142993,549.73981,404.91727,0.079409,,
130,BlazingSQL,T,T,F,64,1080ti,-,2,Q20,T,T,2,3,17,5,5,F,T,602.256,216.803,0,248,37065.56,68.7971,48639,458.33633,404.38321,0.076524,,
131,BlazingSQL,T,T,F,64,1080ti,-,2,Q21,T,T,3,4,16,6,4,F,T,10584.37,1289.377,453769,1565,49290497.868,97.8035,48236986,50821.774621,424.166076,0.148061,,
132,BlazingSQL,T,T,F,64,1080ti,-,2,Q22,T,T,0,0,4,3,2,F,T,,,,,,,,,,,,
133,BlazingSQL,T,T,F,64,1080ti,-,4,Q1,T,F,0,7,7,1,1,F,T,482.401,95.968,121,140,121985.71,80.3826,142538,563.81674,411.97393,0.086531,,
134,BlazingSQL,T,T,F,64,1080ti,-,4,Q2,T,T,8,0,16,10,5,F,T,582.144,268.992,44,295,43220.49,71.0861,65959,485.16036,424.2178,0.142322,,
135,BlazingSQL,T,T,F,64,1080ti,-,4,Q3,T,F,2,4,10,3,3,F,T,478.721,159.169,75,165,55801.76,80.2341,53739,491.95736,422.3246,0.084069,,
136,BlazingSQL,T,T,F,64,1080ti,-,4,Q4,T,T,0,3,7,2,2,F,T,324.272,138.918,0,165,90099.63,87.7681,101535,520.9117,418.16927,0.085924,,
137,BlazingSQL,T,T,F,64,1080ti,-,4,Q5,T,F,5,4,16,6,6,F,T,460.308,152.844,21,165,60912.8,55.3986,56259,525.26909,415.23226,0.083144,,
138,BlazingSQL,T,T,F,64,1080ti,-,4,Q6,T,F,0,4,4,1,1,F,F,257.805,62.307,28,44,48137.82,83.3038,44736,475.67783,417.78098,0.110996,,
139,BlazingSQL,T,T,F,64,1080ti,-,4,Q7,T,T,5,5,15,6,5,F,T,729.712,311.369,54,266,131356.43,87.6189,130718,567.86269,417.85853,0.086284,,
140,BlazingSQL,T,T,F,64,1080ti,-,4,Q8,T,T,7,5,19,8,8,T,T,780.505,244.073,6,238,56489.47,75.416,57774,490.69367,415.71479,0.075074,,
141,BlazingSQL,T,T,F,64,1080ti,-,4,Q9,T,T,5,6,16,6,6,F,T,409.807,160.132,302,157,303118.24,95.5453,297838,731.89146,414.564,0.07659,,
142,BlazingSQL,T,T,F,64,1080ti,-,4,Q10,T,F,3,4,16,4,4,F,T,518.951,584.48938,48,281,115914.54,69.2198,117734,584.48938,416.94547,0.085353,,
143,BlazingSQL,T,T,F,64,1080ti,-,4,Q11,T,T,4,0,8,6,3,F,T,,,,,,,,,,,,
144,BlazingSQL,T,T,F,64,1080ti,-,4,Q12,T,F,1,5,7,2,2,T,T,358.118,86.753,18,114,133595.09,91.5188,131048,570.60726,424.55623,0.075421,,
145,BlazingSQL,T,T,F,64,1080ti,-,4,Q13,T,T,1,0,6,2,2,F,T,149.634,57.472,0,71,950843.86,99.0173,953194,1362.604475,402.20367,0.120249,,
146,BlazingSQL,T,T,F,64,1080ti,-,4,Q14,T,F,1,4,6,2,2,T,F,408.421,111.3,12,72,38978.27,77.1374,35573,472.33341,421.71757,0.084897,,
147,BlazingSQL,T,T,F,64,1080ti,-,4,Q15,T,T,1,4,8,2,2,F,T,291.364,101.537,20,106,38197.44,77.3638,33496,469.523,420.06443,0.084757,,
148,BlazingSQL,T,T,F,64,1080ti,-,4,Q16,T,T,1,0,8,3,3,F,T,572.547,235.527,24,326,248172.25,93.4388,254839,678.7649,413.04647,0.119582,,
