Q3										
#	bla1080	bla2080	bla3090	omni1080	omni2080	omni3090	pg1080	pg2080	pg3090	pgcpu
#	bla1080	bla2080	bla3090	omni1080	omni2080	omni3090	pg1080	pg2080	pg3090	pgcpu
1	73.88	47.852	45.85135	27	22	10	909.154	990.71	1378.42	453.34
2	142.993	85.907	70.22285	38	25	12	1741.713	1764.125	1143.97	891.62
3	280.458	169.117	135.33068	68	41	19	3601.364	3523.55	1916.11	1699.5
4	546.68	351.784	182.83975	128	78	38	6655.435	6382.498	3600.55	4111.79
5	NaN	NaN	179.27754	NaN	NaN	70	12717.025	12417.206	5567.48	7697.1
6	NaN	NaN	NaN	NaN	NaN	146	22941.649	24027.39	10530.86	11869.67
7	NaN	NaN	NaN	NaN	NaN	282	80985.497	63066.797	54965.13	34807.98
8	NaN	NaN	NaN	NaN	NaN	282	255283.246	103027.378	106405.69	71542.28
	0	0	0							
Q20										
#	bla1080	bla2080	bla3090	omni1080	omni2080	omni3090	pg1080	pg2080	pg3090	pgcpu
1	28.74	21.501	38.02931	1673	1646	258	NaN	NaN	NaN	3923.41
2	48.639	32.165	43.69199	3074	3064	654	NaN	NaN	NaN	13227.12
3	85.414	52.105	84.06949	6014	5983	993	NaN	NaN	NaN	47587.02
4	160.001	96.606	96.01033	11528	11617	1572	NaN	NaN	NaN	186312.21
5	NaN	NaN	71.57075	NaN	NaN	2939	NaN	NaN	NaN	681471.78
6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	153059.13
7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11017815.69
8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
										
Q21										
#	bla1080	bla2080	bla3090	omni1080	omni2080	omni3090	pg1080	pg2080	pg3090	pgcpu
1	3924.47	1107.575	NaN	NaN	NaN	NaN	1108.32	1152.868	1520.1	588.07
2	48236.986	15202.904	NaN	NaN	NaN	NaN	2068.709	2095.504	2084.49	1162.08
3	152714.021	41220.4	NaN	NaN	NaN	NaN	4373.439	4408.348	4456.3	2212.53
4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27897.35	13044.65
