Row_No,DBMS,IM,CF,MG,RAM_Size,Gen,GM,IC,DB_Size,QNo,AGG,SQ,NumJoins,NumFTAtts,NumAllAtts,NumAllTbl,NumDsTbl,CW,OB,HDT,DHT,PF,NumIK,KT,KU,ET,ETN,OV
71,BlazingSQL,T,T,F,48,2080ti,11,-,8,Q5,T,F,5.0,4.0,16.0,6.0,6.0,F,T,341.503,98.686,107,166,58891.12,,71871,581.97951,472.11842
72,BlazingSQL,T,T,F,48,2080ti,11,-,8,Q6,T,F,0.0,4.0,4.0,1.0,1.0,F,F,192.224,46.144,183,44,52670.07,,50627,551.87722,489.7252
73,BlazingSQL,T,T,F,48,2080ti,11,-,8,Q7,T,T,5.0,5.0,15.0,6.0,5.0,F,T,515.455,175.04,208,266,114700.23000000001,,130740.00000000001,567.11723,436.61601
74,BlazingSQL,T,T,F,48,2080ti,11,-,8,Q8,T,T,7.0,5.0,19.0,8.0,8.0,T,T,568.286,135.424,107,236,54361.18,,70945,509.51102,439.29159
75,BlazingSQL,T,T,F,48,2080ti,11,-,8,Q9,T,T,5.0,6.0,16.0,6.0,6.0,F,T,304.703,87.072,254,157,313874.05,,322838,758.99154,432.82003
76,BlazingSQL,T,T,F,48,2080ti,11,-,8,Q10,T,F,3.0,4.0,16.0,4.0,4.0,F,T,380.734,155.168,233,283,98615.84999999999,,106983,584.25117,471.45363
77,BlazingSQL,T,T,F,48,2080ti,11,-,8,Q11,T,T,4.0,0.0,8.0,6.0,3.0,F,T,,,,,,,,,
78,BlazingSQL,T,T,F,48,2080ti,11,-,8,Q12,T,F,1.0,5.0,7.0,2.0,2.0,T,T,282.847,66.431,206,114,140126.06,,140310,624.77519,473.15157
79,BlazingSQL,T,T,F,48,2080ti,11,-,8,Q13,T,T,1.0,0.0,6.0,2.0,2.0,F,T,120.639,42.304,79,71,615051.8200000001,,616339,1048.506828,424.51252
80,BlazingSQL,T,T,F,48,2080ti,11,-,8,Q14,T,F,1.0,4.0,6.0,2.0,2.0,T,F,303.26,77.599,234,72,41603.82,,40851,490.81146,438.28713
81,BlazingSQL,T,T,F,48,2080ti,11,-,8,Q15,T,T,1.0,4.0,8.0,2.0,2.0,F,T,228.351,57.535,211,108,42316.52,,40466,509.8091,457.03848
82,BlazingSQL,T,T,F,48,2080ti,11,-,8,Q16,T,T,1.0,0.0,8.0,3.0,3.0,F,T,435.197,180.542,314,328,248067.47999999998,,258175,693.89262,430.535
83,BlazingSQL,T,T,F,48,2080ti,11,-,8,Q17,T,T,2.0,3.0,6.0,3.0,2.0,F,F,270.56,42.494,270,41,134006.09,,135395,581.01728,436.77718
84,BlazingSQL,T,T,F,48,2080ti,11,-,8,Q18,T,T,2.0,2.0,8.0,4.0,3.0,F,T,313.342,117.471,58,195,172339.56,,169876,619.98746,434.24312
85,BlazingSQL,T,T,F,48,2080ti,11,-,8,Q19,T,F,1.0,6.0,10.0,2.0,2.0,F,F,605.728,198.655,199,169,343131.92,,353731,796.75496,438.50295
86,BlazingSQL,T,T,F,48,2080ti,11,-,8,Q20,T,T,2.0,3.0,17.0,5.0,5.0,F,T,439.519,159.583,264,258,94874.96,,97414,597.18982,486.81769
87,BlazingSQL,T,T,F,48,2080ti,11,-,8,Q21,T,T,3.0,4.0,16.0,6.0,4.0,F,T,,,,,,,,,
88,BlazingSQL,T,T,F,48,2080ti,11,-,8,Q22,T,T,0.0,0.0,4.0,3.0,2.0,F,T,,,,,,,,,
