Row_No,DBMS,IM,CF,MG,RAM_Size,Gen,GM,DB_Size,BS,QNo,AGG,SQ,NumJoins,NumFTAtts,NumAllAtts,NumAllTbl,NumDsTbl,CW,OB,HDT,DHT,PF,NumIK,KT,ET
59,BlazingSQL,T,T,F,48,2080ti,11,4,616,Q15,T,T,1,4,8,2,2,F,T,213.568,67.295,5,106,16938.97,24441
60,BlazingSQL,T,T,F,48,2080ti,11,4,616,Q16,T,T,1,0,8,3,3,F,T,431.773,169.533,260,326,101656.64,109982
61,BlazingSQL,T,T,F,48,2080ti,11,4,616,Q17,T,T,2,3,6,3,2,F,F,257.888,40.544,0,41,59416.94,69768
62,BlazingSQL,T,T,F,48,2080ti,11,4,616,Q18,T,T,2,2,8,4,3,F,T,323.839,117.216,974,196,96577.44,77924
63,BlazingSQL,T,T,F,48,2080ti,11,4,616,Q19,T,F,1,6,10,2,2,F,F,606.687,211.264,1,169,157124,169647
64,BlazingSQL,T,T,F,48,2080ti,11,4,616,Q20,T,T,2,3,17,5,5,F,T,433.82,164.125,24,247,43929.12,53143
65,BlazingSQL,T,T,F,48,2080ti,11,4,616,Q21,T,T,3,4,16,6,4,F,T,,,,,,41226862
66,BlazingSQL,T,T,F,48,2080ti,11,4,616,Q22,T,T,0,0,4,3,2,F,T,,,,,,
67,BlazingSQL,T,T,F,48,2080ti,11,8,616,Q1,T,F,0,7,7,1,1,F,T,342.047,82.112,203,140,184283.64,176788
68,BlazingSQL,T,T,F,48,2080ti,11,8,616,Q2,T,T,8,0,16,10,5,F,T,426.877,183.006,0,286,27574.43,51956
69,BlazingSQL,T,T,F,48,2080ti,11,8,616,Q3,T,F,2,4,10,3,3,F,T,332.831,103.328,257,167,59141.87,63492
70,BlazingSQL,T,T,F,48,2080ti,11,8,616,Q4,T,T,0,3,7,2,2,F,T,237.597,113.44,123,165,123006.12,132018
71,BlazingSQL,T,T,F,48,2080ti,11,8,616,Q5,T,F,5,4,16,6,6,F,T,341.503,98.686,107,166,58891.12,71871
72,BlazingSQL,T,T,F,48,2080ti,11,8,616,Q6,T,F,0,4,4,1,1,F,F,192.224,46.144,183,44,52670.07,50627
73,BlazingSQL,T,T,F,48,2080ti,11,8,616,Q7,T,T,5,5,15,6,5,F,T,515.455,175.04,208,266,114700.23,130740
74,BlazingSQL,T,T,F,48,2080ti,11,8,616,Q8,T,T,7,5,19,8,8,T,T,568.286,135.424,107,236,54361.18,70945
75,BlazingSQL,T,T,F,48,2080ti,11,8,616,Q9,T,T,5,6,16,6,6,F,T,304.703,87.072,254,157,313874.05,322838
76,BlazingSQL,T,T,F,48,2080ti,11,8,616,Q10,T,F,3,4,16,4,4,F,T,380.734,155.168,233,283,98615.85,106983
77,BlazingSQL,T,T,F,48,2080ti,11,8,616,Q11,T,T,4,0,8,6,3,F,T,,,,,,
78,BlazingSQL,T,T,F,48,2080ti,11,8,616,Q12,T,F,1,5,7,2,2,T,T,282.847,66.431,206,114,140126.06,140310
